Date,Open,High,Low,Close,Adj Close,Volume
10/28/2008,1503.160034,1503.160034,1503.160034,1503.160034,1503.160034,0
10/29/2008,1486.72998,1486.72998,1486.72998,1486.72998,1486.72998,0
10/30/2008,1525.369995,1525.369995,1525.369995,1525.369995,1525.369995,0
10/31/2008,1548.810059,1548.810059,1548.810059,1548.810059,1548.810059,0
11/3/2008,1544.910034,1544.910034,1544.910034,1544.910034,1544.910034,0
11/4/2008,1608,1608,1608,1608,1608,0
11/5/2008,1524.209961,1524.209961,1524.209961,1524.209961,1524.209961,0
11/6/2008,1448.01001,1448.01001,1448.01001,1448.01001,1448.01001,0
11/7/2008,1490.310059,1490.310059,1490.310059,1490.310059,1490.310059,0
11/10/2008,1471.640015,1471.640015,1471.640015,1471.640015,1471.640015,0
11/11/2008,1439.219971,1439.219971,1439.219971,1439.219971,1439.219971,0
11/12/2008,1365.150024,1365.150024,1365.150024,1365.150024,1365.150024,0
11/13/2008,1459.819946,1459.819946,1459.819946,1459.819946,1459.819946,0
11/14/2008,1399.199951,1399.199951,1399.199951,1399.199951,1399.199951,0
11/17/2008,1363.140015,1363.140015,1363.140015,1363.140015,1363.140015,0
11/18/2008,1376.819946,1376.819946,1376.819946,1376.819946,1376.819946,0
11/19/2008,1292.76001,1292.76001,1292.76001,1292.76001,1292.76001,0
11/20/2008,1206.040039,1206.040039,1206.040039,1206.040039,1206.040039,0
11/21/2008,1282.589966,1282.589966,1282.589966,1282.589966,1282.589966,0
11/24/2008,1365.630005,1365.630005,1365.630005,1365.630005,1365.630005,0
11/25/2008,1374.790039,1374.790039,1374.790039,1374.790039,1374.790039,0
11/26/2008,1423.900024,1423.900024,1423.900024,1423.900024,1423.900024,0
11/28/2008,1437.680054,1437.680054,1437.680054,1437.680054,1437.680054,0
12/1/2008,1309.390015,1309.390015,1309.390015,1309.390015,1309.390015,0
12/2/2008,1361.790039,1361.790039,1361.790039,1361.790039,1361.790039,0
12/3/2008,1397.719971,1397.719971,1397.719971,1397.719971,1397.719971,0
12/4/2008,1356.810059,1356.810059,1356.810059,1356.810059,1356.810059,0
12/5/2008,1406.359985,1406.359985,1406.359985,1406.359985,1406.359985,0
12/8/2008,1460.599976,1460.599976,1460.599976,1460.599976,1460.599976,0
12/9/2008,1426.880005,1426.880005,1426.880005,1426.880005,1426.880005,0
12/10/2008,1444,1444,1444,1444,1444,0
12/11/2008,1403.199951,1403.199951,1403.199951,1403.199951,1403.199951,0
12/12/2008,1413.069946,1413.069946,1413.069946,1413.069946,1413.069946,0
12/15/2008,1395.209961,1395.209961,1395.209961,1395.209961,1395.209961,0
12/16/2008,1466.869995,1466.869995,1466.869995,1466.869995,1466.869995,0
12/17/2008,1452.880005,1452.880005,1452.880005,1452.880005,1452.880005,0
12/18/2008,1422.189941,1422.189941,1422.189941,1422.189941,1422.189941,0
12/19/2008,1426.390015,1426.390015,1426.390015,1426.390015,1426.390015,0
12/22/2008,1400.420044,1400.420044,1400.420044,1400.420044,1400.420044,0
12/23/2008,1387.079956,1387.079956,1387.079956,1387.079956,1387.079956,0
12/24/2008,1395.76001,1395.76001,1395.76001,1395.76001,1395.76001,0
12/26/2008,1403.219971,1403.219971,1403.219971,1403.219971,1403.219971,0
12/29/2008,1398.25,1398.25,1398.25,1398.25,1398.25,0
12/30/2008,1432.650024,1432.650024,1432.650024,1432.650024,1432.650024,0
12/31/2008,1452.97998,1452.97998,1452.97998,1452.97998,1452.97998,0
1/2/2009,1499.170044,1499.170044,1499.170044,1499.170044,1499.170044,0
1/5/2009,1492.209961,1492.209961,1492.209961,1492.209961,1492.209961,0
1/6/2009,1503.869995,1503.869995,1503.869995,1503.869995,1503.869995,0
1/7/2009,1459.579956,1459.579956,1459.579956,1459.579956,1459.579956,0
1/8/2009,1464.599976,1464.599976,1464.599976,1464.599976,1464.599976,0
1/9/2009,1433.410034,1433.410034,1433.410034,1433.410034,1433.410034,0
1/12/2009,1401.069946,1401.069946,1401.069946,1401.069946,1401.069946,0
1/13/2009,1403.630005,1403.630005,1403.630005,1403.630005,1403.630005,0
